iter	Passed	Remaining
0	71	71554
1	72	36179
2	73	24372
3	74	18560
4	75	14998
5	75	12586
6	76	10851
7	77	9555
8	77	8547
9	78	7767
10	79	7127
11	80	6599
12	81	6153
13	81	5746
14	82	5393
15	82	5084
16	83	4836
17	84	4595
18	84	4374
19	85	4184
20	86	4021
21	86	3858
22	87	3707
23	87	3570
24	88	3443
25	89	3337
26	89	3236
27	90	3134
28	90	3038
29	91	2959
30	92	2883
31	92	2804
32	93	2732
33	93	2662
34	94	2597
35	95	2546
36	95	2494
37	96	2439
38	96	2389
39	97	2344
40	98	2301
41	98	2255
42	99	2210
43	99	2170
44	100	2133
45	101	2097
46	101	2059
47	102	2023
48	102	1988
49	103	1964
50	103	1934
51	104	1905
52	104	1874
53	105	1845
54	105	1817
55	106	1791
56	106	1767
57	107	1744
58	107	1721
59	108	1701
60	109	1687
61	110	1666
62	110	1645
63	111	1624
64	111	1604
65	111	1584
66	112	1565
67	112	1546
68	113	1527
69	113	1509
70	114	1491
71	114	1478
72	115	1463
73	115	1448
74	116	1432
75	116	1418
76	117	1404
77	117	1389
78	118	1375
79	118	1362
80	118	1348
81	119	1335
82	119	1319
83	119	1307
84	120	1295
85	120	1284
86	121	1273
87	121	1262
88	122	1250
89	122	1239
90	123	1229
91	123	1219
92	123	1209
93	124	1199
94	124	1189
95	125	1179
96	125	1169
97	126	1160
98	126	1151
99	126	1142
100	127	1134
101	127	1126
102	128	1118
103	128	1109
104	129	1101
105	129	1093
106	130	1085
107	130	1077
108	130	1069
109	131	1062
110	131	1055
111	132	1048
112	132	1040
113	133	1033
114	133	1028
115	134	1021
116	134	1014
117	134	1007
118	136	1006
119	136	1000
120	136	994
121	137	988
122	137	983
123	138	978
124	138	972
125	139	967
126	140	962
127	140	958
128	141	953
129	141	947
130	142	942
131	142	936
132	142	931
133	143	926
134	143	921
135	144	916
136	144	910
137	145	906
138	145	900
139	145	896
140	146	893
141	147	888
142	147	884
143	148	880
144	148	876
145	149	872
146	149	868
147	150	864
148	150	860
149	151	856
150	151	852
151	152	849
152	152	845
153	153	842
154	154	839
155	154	836
156	155	832
157	155	828
158	156	825
159	156	821
160	156	816
161	157	812
162	157	809
163	157	805
164	158	801
165	159	799
166	159	796
167	160	792
168	160	789
169	161	786
170	161	782
171	161	779
172	162	775
173	162	772
174	163	769
175	163	765
176	164	762
177	164	759
178	165	757
179	165	754
180	166	751
181	166	748
182	167	745
183	167	742
184	167	739
185	168	736
186	168	733
187	169	730
188	169	727
189	170	724
190	170	722
191	171	719
192	171	717
193	172	715
194	172	712
195	173	710
196	173	708
197	174	705
198	174	702
199	175	700
200	175	697
201	175	694
202	176	692
203	176	689
204	177	687
205	177	685
206	178	682
207	178	680
208	179	677
209	179	675
210	179	672
211	180	670
212	180	668
213	181	665
214	181	663
215	182	661
216	182	658
217	182	656
218	183	653
219	183	651
220	184	649
221	184	647
222	185	645
223	185	643
224	186	641
225	186	638
226	187	636
227	187	634
228	187	632
229	188	630
230	188	628
231	189	626
232	189	624
233	190	622
234	190	620
235	191	618
236	191	616
237	192	614
238	192	612
239	192	610
240	193	608
241	193	606
242	194	604
243	194	602
244	195	601
245	195	599
246	195	597
247	196	595
248	196	593
249	197	591
250	197	590
251	198	588
252	198	586
253	198	584
254	199	582
255	199	580
256	200	578
257	200	577
258	201	575
259	201	573
260	202	572
261	202	570
262	203	569
263	203	567
264	204	565
265	204	564
266	204	562
267	205	560
268	205	559
269	206	557
270	206	555
271	206	553
272	207	552
273	207	550
274	208	548
275	208	547
276	209	546
277	209	544
278	210	543
279	210	541
280	211	539
281	211	538
282	211	536
283	212	535
284	212	533
285	213	532
286	213	530
287	213	529
288	214	527
289	214	526
290	215	525
291	216	524
292	216	522
293	217	521
294	217	520
295	218	519
296	218	517
297	219	516
298	219	514
299	220	513
300	220	512
301	220	510
302	221	509
303	221	508
304	222	506
305	222	505
306	223	504
307	223	502
308	224	501
309	224	499
310	225	498
311	225	497
312	225	495
313	226	494
314	226	493
315	227	491
316	227	490
317	228	489
318	228	488
319	229	486
320	229	485
321	230	484
322	230	483
323	230	481
324	231	480
325	231	479
326	232	477
327	232	476
328	233	475
329	233	473
330	233	472
331	234	471
332	235	470
333	235	469
334	235	468
335	236	467
336	236	465
337	237	464
338	237	463
339	238	462
340	238	460
341	238	459
342	239	458
343	239	457
344	240	455
345	240	454
346	241	453
347	241	452
348	242	451
349	242	450
350	242	448
351	243	447
352	243	446
353	244	445
354	244	444
355	244	443
356	245	441
357	245	440
358	246	439
359	246	438
360	247	437
361	247	436
362	248	435
363	248	434
364	249	433
365	249	432
366	249	431
367	250	429
368	250	428
369	251	427
370	251	426
371	252	425
372	252	424
373	253	423
374	253	422
375	254	421
376	254	420
377	254	419
378	255	418
379	255	417
380	256	416
381	256	415
382	257	414
383	257	413
384	257	411
385	258	410
386	258	409
387	259	408
388	259	408
389	260	407
390	260	406
391	261	405
392	261	404
393	262	403
394	262	402
395	262	401
396	263	400
397	263	399
398	264	398
399	264	397
400	265	396
401	265	394
402	266	394
403	266	393
404	267	392
405	267	391
406	268	390
407	268	389
408	269	389
409	269	388
410	270	387
411	270	386
412	271	385
413	271	384
414	272	384
415	272	383
416	273	382
417	273	381
418	274	380
419	274	379
420	274	378
421	275	377
422	275	376
423	276	375
424	276	374
425	277	373
426	277	372
427	277	371
428	278	370
429	278	369
430	279	368
431	279	367
432	280	366
433	280	365
434	280	364
435	281	363
436	281	363
437	282	362
438	282	361
439	283	360
440	283	359
441	284	359
442	284	358
443	285	357
444	285	356
445	286	355
446	286	354
447	287	353
448	287	352
449	288	352
450	288	351
451	288	350
452	289	349
453	289	348
454	290	347
455	290	346
456	291	346
457	291	345
458	292	344
459	293	344
460	294	344
461	294	343
462	295	342
463	295	341
464	296	341
465	297	340
466	297	339
467	297	338
468	298	337
469	299	337
470	299	336
471	300	335
472	300	335
473	301	334
474	302	334
475	303	333
476	303	333
477	304	332
478	304	331
479	305	330
480	305	329
481	306	329
482	306	328
483	307	327
484	308	327
485	308	326
486	309	325
487	310	325
488	310	324
489	311	324
490	311	323
491	312	322
492	313	322
493	314	321
494	314	321
495	315	320
496	316	320
497	317	320
498	318	320
499	319	319
500	319	318
501	320	317
502	320	317
503	321	316
504	322	315
505	322	315
506	323	314
507	324	313
508	324	313
509	325	312
510	326	312
511	326	311
512	327	310
513	328	310
514	328	309
515	329	309
516	329	308
517	330	307
518	331	306
519	331	306
520	332	305
521	333	305
522	333	304
523	334	303
524	335	303
525	335	302
526	336	301
527	336	300
528	337	300
529	338	299
530	338	299
531	339	298
532	339	297
533	340	297
534	341	296
535	341	295
536	342	295
537	342	294
538	343	293
539	344	293
540	344	292
541	345	291
542	345	291
543	347	290
544	347	290
545	348	289
546	349	289
547	349	288
548	350	287
549	350	286
550	351	286
551	351	285
552	351	284
553	352	283
554	353	283
555	353	282
556	354	281
557	354	280
558	355	280
559	355	279
560	356	279
561	357	278
562	357	277
563	358	277
564	359	276
565	359	275
566	360	275
567	360	274
568	361	273
569	362	273
570	363	272
571	363	272
572	364	271
573	365	271
574	366	270
575	366	269
576	367	269
577	368	268
578	369	268
579	369	267
580	370	267
581	371	266
582	372	266
583	372	265
584	373	264
585	373	264
586	374	263
587	375	263
588	375	262
589	376	261
590	377	260
591	377	260
592	378	259
593	378	258
594	379	258
595	379	257
596	380	256
597	381	256
598	381	255
599	382	254
600	382	254
601	383	253
602	384	252
603	384	252
604	385	251
605	385	250
606	386	249
607	386	249
608	387	248
609	387	247
610	388	247
611	388	246
612	389	245
613	390	245
614	390	244
615	391	243
616	391	243
617	392	242
618	393	242
619	393	241
620	394	240
621	394	240
622	395	239
